coupling,spectral_abscissa,numerical_abscissa,A_norm2,eigvec_cond,rho_IhA,norm_IhA,max_transient_gain,t_at_gain
0.0,-1.0,-1.0,1.474,1.0,0.75,0.75,1.0,0.0
0.5,-1.0,-0.542476665035238,1.9352374212005024,5.001653954216019e+51,0.75,0.8648743759777524,1.0,0.0
1.0,-1.0,-0.05515046236220859,2.4273498901023216,4.719273262727708e+74,0.75,0.9874179996932417,1.0,0.0
2.0,-1.0,0.9288967988959015,3.420441022376552,2.449167705027333e+98,0.75,1.2349459065883872,1331.5374118991303,8.0
4.0,-1.0,2.9088096905248286,5.415267583033322,9.049629970566968e+122,0.75,1.7327737820292133,7387684592.577789,8.0
8.0,-1.0,6.883511098590968,9.411912368758186,2.4356294828852e+146,0.75,2.731140429001065,2.3898434443865867e+23,8.0
